symbol,date,vol7,fwd3,fwd7,fascia_tf,quart,semestre
ICP/USDT,2025-11-06 00:00:00+00:00,120810623.73504142,0.12570747691391104,-0.1270479594876378,A (>$100M),Q4 alto,giu-nov 2025
ICP/USDT,2026-01-18 00:00:00+00:00,46972106.775278576,-0.06853182751540043,-0.16991786447638602,B ($20-100M),Q4 alto,dic 2025-giu 2026
ICP/USDT,2026-05-06 00:00:00+00:00,10212711.592678571,0.10406249999999995,-0.05125000000000002,C (<$20M),Q3,dic 2025-giu 2026
INJ/USDT,2025-09-11 00:00:00+00:00,11084265.297771428,-0.009148486980999349,0.03589021815622795,C (<$20M),Q3,giu-nov 2025
INJ/USDT,2026-04-24 00:00:00+00:00,2803168.2638428574,0.04489795918367334,0.06326530612244885,C (<$20M),Q1 basso,dic 2025-giu 2026
IO/USDT,2026-04-23 00:00:00+00:00,1718105.3113327143,0.01069078947368407,-0.046052631578947345,C (<$20M),Q1 basso,dic 2025-giu 2026
JTO/USDT,2025-08-30 00:00:00+00:00,6956979.792771429,-0.01446280991735538,-0.07231404958677679,C (<$20M),Q2,giu-nov 2025
JTO/USDT,2025-09-02 00:00:00+00:00,6345650.941157143,-0.03563941299790352,-0.002620545073375169,C (<$20M),Q2,giu-nov 2025
JTO/USDT,2025-09-12 00:00:00+00:00,6145867.9838000005,-0.09890109890109877,-0.07092907092907075,C (<$20M),Q2,giu-nov 2025
JTO/USDT,2026-04-16 00:00:00+00:00,1670827.639867143,-0.0958984951313071,0.023310711124225447,C (<$20M),Q1 basso,dic 2025-giu 2026
JUP/USDT,2025-08-28 00:00:00+00:00,11289001.856914286,-0.07269973494888293,-0.09541840212040897,C (<$20M),Q3,giu-nov 2025
JUP/USDT,2025-09-09 00:00:00+00:00,6745487.861181429,0.05853381322220108,-0.020458420155332502,C (<$20M),Q2,giu-nov 2025
JUP/USDT,2026-04-17 00:00:00+00:00,2191631.6810185714,-0.08599242833964305,-0.06165494862087628,C (<$20M),Q1 basso,dic 2025-giu 2026
KAVA/USDT,2026-04-25 00:00:00+00:00,1063544.7195161427,-0.04051000645577785,-0.010329244673983218,C (<$20M),Q1 basso,dic 2025-giu 2026
KITE/USDT,2026-05-13 00:00:00+00:00,10654091.207619999,0.042377009254749076,0.13395031660983925,C (<$20M),Q3,dic 2025-giu 2026
KNC/USDT,2026-05-03 00:00:00+00:00,2591854.3202257133,-0.10119047619047628,-0.04880952380952386,C (<$20M),Q1 basso,dic 2025-giu 2026
KSM/USDT,2025-08-12 00:00:00+00:00,1990106.8353471428,-0.06544996853366902,-0.12208936438011331,C (<$20M),Q1 basso,giu-nov 2025
KSM/USDT,2025-08-22 00:00:00+00:00,1569636.6532471427,-0.09339975093399744,-0.07222914072229136,C (<$20M),Q1 basso,giu-nov 2025
KSM/USDT,2026-04-27 00:00:00+00:00,768546.6953285715,-0.004201680672268782,0.0126050420168069,C (<$20M),Q1 basso,dic 2025-giu 2026
LDO/USDT,2025-10-06 00:00:00+00:00,23050904.252131857,-0.07292747147530532,-0.18479214872735983,B ($20-100M),Q4 alto,giu-nov 2025
LDO/USDT,2026-04-16 00:00:00+00:00,5677796.895944429,-0.17902930402930417,-0.11126373626373631,C (<$20M),Q2,dic 2025-giu 2026
LINEA/USDT,2026-05-01 00:00:00+00:00,4043932.648330857,-0.020470262793914284,0.1961272475795297,C (<$20M),Q2,dic 2025-giu 2026
LINK/USDT,2026-04-26 00:00:00+00:00,17171000.771557145,-0.03902953586497904,-0.03691983122362863,C (<$20M),Q3,dic 2025-giu 2026
LINK/USDT,2026-05-05 00:00:00+00:00,22500872.17027143,0.05942622950819665,0.05327868852459017,B ($20-100M),Q4 alto,dic 2025-giu 2026
LPT/USDT,2025-08-30 00:00:00+00:00,24846060.22697143,-0.0536193029490617,-0.019895583462678168,B ($20-100M),Q4 alto,giu-nov 2025
LPT/USDT,2026-05-10 00:00:00+00:00,1449723.0780557136,-0.08082077051926306,-0.14321608040201006,C (<$20M),Q1 basso,dic 2025-giu 2026
LTC/USDT,2025-10-04 00:00:00+00:00,59287360.197751425,-0.02987303958177756,-0.22545846817691473,B ($20-100M),Q4 alto,giu-nov 2025
LTC/USDT,2026-05-08 00:00:00+00:00,17065307.09935,0.003429355281207247,-0.014060356652949246,C (<$20M),Q3,dic 2025-giu 2026
LUMIA/USDT,2026-04-10 00:00:00+00:00,447536.2000361421,0.0946969696969695,0.3737373737373735,C (<$20M),Q1 basso,dic 2025-giu 2026
LUNA/USDT,2025-12-09 00:00:00+00:00,30254612.83145257,0.15462610899873264,-0.17046894803548795,B ($20-100M),Q4 alto,dic 2025-giu 2026
LUNA/USDT,2026-04-29 00:00:00+00:00,3815075.623182857,0.1708463949843262,0.11442006269592486,C (<$20M),Q2,dic 2025-giu 2026
LUNC/USDT,2025-08-23 00:00:00+00:00,2757082.1629440733,-0.04738194667523299,-0.05300353356890464,C (<$20M),Q1 basso,giu-nov 2025
LUNC/USDT,2025-09-17 00:00:00+00:00,2514185.30614763,-0.02144026186579362,-0.09214402618657924,C (<$20M),Q1 basso,giu-nov 2025
LUNC/USDT,2025-12-09 00:00:00+00:00,80751799.66204159,-0.24747310074991857,-0.32751874796217806,B ($20-100M),Q4 alto,dic 2025-giu 2026
LUNC/USDT,2025-12-31 00:00:00+00:00,6454898.367955168,0.05124555160142341,0.030130486358244335,C (<$20M),Q2,dic 2025-giu 2026
LUNC/USDT,2026-03-01 00:00:00+00:00,7319301.711324701,0.05421262614409761,-0.02511147617930065,C (<$20M),Q3,dic 2025-giu 2026
LUNC/USDT,2026-04-14 00:00:00+00:00,2466638.6554984143,0.12762836185819082,0.09951100244498767,C (<$20M),Q1 basso,dic 2025-giu 2026
MASK/USDT,2026-04-23 00:00:00+00:00,1113184.4133142855,0.07633587786259532,-0.04770992366412219,C (<$20M),Q1 basso,dic 2025-giu 2026
MOVR/USDT,2025-08-04 00:00:00+00:00,1326625.2812565714,0.014732070584426049,0.07252711672332857,C (<$20M),Q1 basso,giu-nov 2025
MOVR/USDT,2025-08-08 00:00:00+00:00,2103002.513233286,-0.02415672411253489,-0.04522020916187941,C (<$20M),Q1 basso,giu-nov 2025
MOVR/USDT,2026-04-17 00:00:00+00:00,14002832.879419286,-0.3303632625085675,-0.24708704592186426,C (<$20M),Q3,dic 2025-giu 2026
MUBARAK/USDT,2025-09-21 00:00:00+00:00,18372644.18159743,-0.21545610173636598,-0.25409635607728054,C (<$20M),Q3,giu-nov 2025
MUBARAK/USDT,2025-10-08 00:00:00+00:00,12976115.48025657,-0.425378693816737,-0.34963993046933195,C (<$20M),Q3,giu-nov 2025
MUBARAK/USDT,2026-01-09 00:00:00+00:00,4960869.278085572,0.06324701195219129,0.08565737051792821,C (<$20M),Q2,dic 2025-giu 2026
MUBARAK/USDT,2026-05-03 00:00:00+00:00,1483402.2472345715,0.07039473684210518,0.06052631578947354,C (<$20M),Q1 basso,dic 2025-giu 2026
NEAR/USDT,2025-09-12 00:00:00+00:00,26388328.058657143,-0.05945558739255008,0.1174785100286535,B ($20-100M),Q4 alto,giu-nov 2025
NEAR/USDT,2026-03-16 00:00:00+00:00,27727545.64067143,-0.10402684563758391,-0.12013422818791952,B ($20-100M),Q4 alto,dic 2025-giu 2026
NEAR/USDT,2026-04-10 00:00:00+00:00,18012574.28332857,0.04261572373254974,0.033798677443056535,C (<$20M),Q3,dic 2025-giu 2026
NEIRO/USDT,2026-04-17 00:00:00+00:00,16254078.51655008,-0.1717191472716605,-0.1463915509485625,C (<$20M),Q3,dic 2025-giu 2026
NFP/USDT,2025-08-22 00:00:00+00:00,745092.6676857143,-0.1384615384615384,-0.04195804195804176,C (<$20M),Q1 basso,giu-nov 2025
NFP/USDT,2025-08-28 00:00:00+00:00,2469732.3402714287,-0.11702127659574468,-0.19680851063829785,C (<$20M),Q1 basso,giu-nov 2025
NFP/USDT,2025-09-13 00:00:00+00:00,1796126.3801285715,-0.043126684636118684,-0.052560646900269514,C (<$20M),Q1 basso,giu-nov 2025
NIL/USDT,2025-09-17 00:00:00+00:00,1343891.7432728573,0.0012210012210012167,-0.04548229548229554,C (<$20M),Q1 basso,giu-nov 2025
NIL/USDT,2025-10-02 00:00:00+00:00,1763128.191,-0.022488317757009324,0.058703271028037296,C (<$20M),Q1 basso,giu-nov 2025
NIL/USDT,2026-05-07 00:00:00+00:00,8057046.234646286,-0.3130952380952381,-0.41742424242424236,C (<$20M),Q3,dic 2025-giu 2026
NOM/USDT,2026-04-07 00:00:00+00:00,23291485.467539996,-0.052969502407704705,-0.4735152487961477,B ($20-100M),Q4 alto,dic 2025-giu 2026
NOT/USDT,2026-04-24 00:00:00+00:00,592614.6076462857,-0.06018518518518512,-0.1157407407407407,C (<$20M),Q1 basso,dic 2025-giu 2026
