symbol,skip_at,distance_pct_at_skip,price_at_skip,ema20_at_skip,check_price_24h,hours_to_check,delta_24h_pct,peak_24h_pct,verdict,notes
ORCA/USDT,2026-04-25 15:47:59,36.69,1.329,0.972299,1.39,26.9,+4.59,+59.29,blocked small gain,
ORCA/USDT,2026-04-25 16:18:28,31.03,1.317,1.00511,1.39,26.4,+5.54,+60.74,blocked winner (5-10%),
HYPER/USDT,2026-04-25 16:18:28,43.80,0.1626,0.113073,0.124,26.4,-23.74,+8.18,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 16:18:29,19.64,1.507,1.259565,1.4,26.4,-7.10,+8.36,avoided medium loss (5-10%),
HYPER/USDT,2026-04-25 16:18:29,43.80,0.1626,0.113073,0.124,26.4,-23.74,+8.18,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 16:18:29,31.03,1.317,1.00511,1.389,26.4,+5.47,+60.74,blocked winner (5-10%),
HYPER/USDT,2026-04-25 16:48:59,41.71,0.1599,0.112835,0.124,25.9,-22.45,+10.01,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 16:48:59,23.90,1.237,0.998348,1.388,25.9,+12.21,+71.14,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 16:48:59,20.59,1.52,1.260518,1.4,25.9,-7.89,+7.43,avoided medium loss (5-10%),
ZBT/USDT,2026-04-25 16:49:00,15.82,0.1482,0.127953,0.2533,25.9,+70.92,+74.09,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 16:49:00,41.71,0.1599,0.112835,0.124,25.9,-22.45,+10.01,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 16:49:01,23.90,1.237,0.998348,1.388,25.9,+12.21,+71.14,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 17:19:29,39.16,0.1566,0.11253,0.124,25.4,-20.82,+12.32,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 17:19:29,23.62,1.233,0.997396,1.388,25.4,+12.57,+71.70,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 17:19:30,22.43,1.546,1.262803,1.4,25.4,-9.44,+5.63,avoided medium loss (5-10%),
HYPER/USDT,2026-04-25 17:19:30,39.16,0.1566,0.11253,0.124,25.4,-20.82,+12.32,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 17:19:30,23.62,1.233,0.997396,1.388,25.4,+12.57,+71.70,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 17:49:59,41.85,0.1601,0.112863,0.124,24.9,-22.55,+9.87,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 17:50:00,21.79,1.537,1.262041,1.4,24.9,-8.91,+6.25,avoided medium loss (5-10%),
ZBT/USDT,2026-04-25 17:50:00,19.27,0.1532,0.128448,0.2532,24.9,+65.27,+79.83,BLOCKED big winner (+10%+),
ORCA/USDT,2026-04-25 17:50:00,18.89,1.179,0.991681,1.388,24.9,+17.73,+79.56,BLOCKED big winner (+10%+),
